post_id,date_posted,time_posted,day_of_week,likes,comments,shares,saves,impressions,reach,followers_at_post_time,hour
1000_0,2025-04-10,03:07:00,Perşembe,121,5,3,9,2073,1586,4995,3
1000_1,2025-04-11,20:49:00,Cuma,1308,61,31,90,7247,5605,5022,20
1000_2,2025-04-12,19:15:00,Cumartesi,831,40,19,57,5640,4326,5043,19
1000_3,2025-04-13,01:51:00,Pazar,113,5,2,8,1681,1484,5054,1
1000_4,2025-04-14,21:40:00,Pazartesi,464,22,10,31,4403,3487,5114,21
1000_5,2025-04-15,13:30:00,Salı,367,17,8,25,3645,2824,5144,13
1000_6,2025-04-16,18:50:00,Çarşamba,575,27,13,39,5209,4255,5156,18
1000_7,2025-04-17,19:10:00,Perşembe,752,35,17,51,5599,4401,5144,19
1000_8,2025-04-18,20:13:00,Cuma,1274,59,31,88,7106,5892,5147,20
1000_9,2025-04-19,13:58:00,Cumartesi,481,22,11,33,4034,3123,5162,13
1000_10,2025-04-20,01:47:00,Pazar,113,6,2,8,1729,1447,5229,1
1000_11,2025-04-21,18:27:00,Pazartesi,370,18,8,25,4046,3101,5239,18
1000_12,2025-04-22,08:31:00,Salı,216,9,5,15,2919,2522,5258,8
1000_13,2025-04-23,19:22:00,Çarşamba,576,27,13,40,5232,4101,5285,19
1000_14,2025-04-24,19:53:00,Perşembe,774,36,17,53,5761,4383,5285,19
1000_15,2025-04-25,21:55:00,Cuma,1292,60,31,89,7192,5485,5322,21
1000_16,2025-04-26,20:41:00,Cumartesi,831,39,19,57,5652,4767,5366,20
1000_17,2025-04-27,03:22:00,Pazar,110,5,2,8,1717,1434,5348,3
1000_18,2025-04-28,15:58:00,Pazartesi,245,11,5,16,2908,2450,5401,15
1000_19,2025-04-29,18:05:00,Salı,441,20,10,30,4662,3740,5431,18
1000_20,2025-04-30,22:42:00,Çarşamba,477,22,11,33,4638,3670,5444,22
1000_21,2025-05-01,19:54:00,Perşembe,752,36,17,51,5605,4206,5472,19
1000_22,2025-05-02,21:23:00,Cuma,1307,61,31,90,7236,5616,5497,21
1000_23,2025-05-03,13:21:00,Cumartesi,496,23,11,34,4142,3284,5514,13
1000_24,2025-05-04,15:05:00,Pazar,165,7,3,11,2138,1871,5527,15
1000_25,2025-05-05,23:23:00,Pazartesi,354,16,8,24,3835,2868,5557,23
1000_26,2025-05-06,19:09:00,Salı,448,21,10,30,4743,3912,5517,19
1000_27,2025-05-07,18:43:00,Çarşamba,572,27,13,39,5188,4163,5566,18
1000_28,2025-05-08,20:41:00,Perşembe,783,37,18,53,5842,4739,5613,20
1000_29,2025-05-09,21:40:00,Cuma,1309,61,31,90,7247,5628,5614,21
1000_30,2025-05-10,21:05:00,Cumartesi,840,40,19,57,5718,4589,5634,21
1000_31,2025-05-11,05:51:00,Pazar,113,5,2,8,1729,1399,5670,5
1000_32,2025-05-12,02:44:00,Pazartesi,188,8,4,12,2844,2282,5682,2
1000_33,2025-05-13,20:25:00,Salı,459,21,10,31,4865,3987,5704,20
1000_34,2025-05-14,02:00:00,Çarşamba,234,10,5,15,3101,2340,5698,2
1000_35,2025-05-15,08:33:00,Perşembe,309,14,7,21,3734,3104,5707,8
1000_36,2025-05-16,21:13:00,Cuma,1299,60,31,89,7209,5610,5710,21
1000_37,2025-05-17,18:05:00,Cumartesi,707,33,16,48,5182,3980,5760,18
1000_38,2025-05-17,13:54:00,Pazar,188,8,4,12,2385,2096,5770,13
1000_39,2025-05-19,19:11:00,Pazartesi,379,18,9,26,4156,3230,5784,19
1000_40,2025-05-20,13:52:00,Salı,376,17,8,25,3733,3194,5780,13
1000_41,2025-05-21,11:39:00,Çarşamba,361,16,8,24,3543,2814,5776,11
1000_42,2025-05-22,19:35:00,Perşembe,752,36,17,51,5603,4269,5794,19
1000_43,2025-05-23,20:00:00,Cuma,1316,61,31,90,7284,5574,5827,20
1000_44,2025-05-24,20:13:00,Cumartesi,817,39,19,55,5563,4562,5861,20
1000_45,2025-05-25,08:56:00,Pazar,136,6,3,9,2152,1716,5874,8
1000_46,2025-05-26,05:44:00,Pazartesi,184,8,4,12,2772,2414,5868,5
1000_47,2025-05-27,20:41:00,Salı,462,21,10,31,4897,3811,5868,20
1000_48,2025-05-28,21:49:00,Çarşamba,577,27,13,40,5640,4392,5864,21
1000_49,2025-05-29,19:04:00,Perşembe,774,36,17,53,5761,4669,5915,19
1000_50,2025-05-30,21:11:00,Cuma,1317,61,31,90,7291,5587,5913,21
